OTUs_raw	constraints_count	seqs_morph2	seqs_morph3	seqs_morph4	seqs_morph5	seqs_morph6	seqs_DNA
Aramides_axillaris_0	2	71.56	79.17	90	100	100	93.14
Amaurornis_flavirostris_0	2	100	100	100	100	100	95.63
Amaurornis_phoenicurus_0	2	100	100	100	100	100	95.86
Aramides_cajanea_0	2	98.1	100	100	100	100	91.1
Crex_crex_0	2	100	100	100	100	100	87.61
Eulabeornis_castaneoventris_0	2	94.79	100	100	100	100	98.4
Dryolimnas_cuvieri_0	2	100	100	100	100	100	97.76
Fulica_americana_0	2	100	100	100	100	100	88.8
Fulica_atra_0	2	100	100	100	100	100	88
Fulica_ardesiaca_0	2	100	100	100	100	100	89.9
Fulica_leucoptera_0	2	96.21	100	90	100	100	87.91
Fulica_rufifrons_0	2	100	100	100	100	100	97.6
Fulica_armillata_0	2	100	100	100	100	100	97.64
Gallinula_angulata_0	2	97.63	100	100	100	100	95.33
Gallinula_chloropus_0	2	100	100	100	100	100	96.89
Gallicrex_cinerea_0	2	100	100	100	100	100	86.79
Gallinula_tenebrosa_0	2	100	100	100	100	100	93.24
Gallinula_mortierii_0	2	99.53	100	100	100	100	89.37
Gallinula_ventralis_0	2	100	100	100	100	100	93.22
Laterallus_exilis_0	2	93.36	100	90	100	100	97.18
Laterallus_melanophaius_0	2	95.73	100	90	100	100	91.01
Laterallus_viridis_0	2	99.53	100	100	100	100	94.08
Neocrex_erythrops_0	2	96.68	95.83	100	100	100	94.33
Nesoclopeus_woodfordi_0	2	72.99	87.5	90	100	100	93.65
Pardirallus_nigricans_0	2	97.63	100	100	100	100	96.58
Pardirallus_sanguinolentus_0	2	100	100	100	100	100	95.41
Pardirallus_maculatus_0	2	96.21	100	90	100	100	89.3
Porzana_porzana_0	2	100	100	100	100	100	84.74
Rallus_limicola_0	2	100	100	100	100	100	98.47
Rallus_longirostris_0	2	97.63	100	100	100	100	96.77
Rallina_fasciata_0	2	100	100	100	100	100	95.52
Rallina_tricolor_0	2	100	100	100	100	100	89.66
Porphyrio_martinica_0	2	100	100	100	100	100	93.45
Gallirallus_philippensis_0	2	96.21	100	90	100	100	96.03
Aenigmatolimnas_marginalis_0	2	100	100	100	100	100	74.28
Amaurolimnas_concolor_0	2	94.79	100	90	100	100	68.28
Amaurornis_moluccana_0	2	97.63	100	100	100	100	93.66
Aramides_saracura_0	2	95.73	100	100	100	100	84.81
Coturnicops_noveboracensis_0	2	100	100	100	100	100	96.47
Crex_egregia_0	2	100	100	100	100	100	83.69
Fulica_gigantea_0	2	100	100	100	100	100	76.33
Fulica_cristata_0	2	100	100	100	100	100	96.9
Gallirallus_calayanensis_0	2	0	0	0	0	0	85.52
Gallirallus_torquatus_0	2	96.21	100	90	100	100	62.81
Gallirallus_striatus_0	2	100	100	100	100	100	93.49
Laterallus_albigularis_0	2	95.73	100	90	100	100	80.07
Laterallus_leucopyrrhus_0	2	99.53	95.83	100	100	100	86.6
Laterallus_jamaicaensis_0	2	99.53	100	100	100	100	96.53
Megacrex_inepta_0	2	84.83	91.67	100	100	100	88.26
Micropygia_schomburgkii_0	2	87.68	95.83	90	100	100	80.84
Porzana_cinerea_0	2	100	100	100	100	100	82.4
Porzana_fusca_0	2	97.63	100	100	100	100	90.26
Porphyrio_madagascariensis_0	2	95.73	100	90	100	100	82.14
Porzana_parva_0	2	97.63	100	100	100	100	88
Rallina_eurizonoides_0	2	96.21	100	90	100	100	93.51
Atlantisia_rogersi_0	2	100	100	100	100	100	34.73
Himantornis_haematopus_0	2	100	100	100	100	100	74.72
Gallirallus_owstoni_0	2	100	100	100	100	100	91.57
Rougetius_rougetii_0	2	72.51	87.5	90	100	100	86.03
Porphyrio_melanotus_0	2	99.53	100	100	100	100	97.56
Porphyrio_alleni_0	2	100	100	100	100	100	97.34
Lewinia_pectoralis_0	2	97.63	100	100	100	100	78.77
Porphyrio_poliocephalus_0	2	99.53	100	100	100	100	0
Porphyrio_melanopterus_0	2	54.98	66.67	90	100	100	0
Porphyrio_indicus_0	2	54.98	66.67	90	100	100	0
Porphyrio_porphyrio_0	2	95.73	100	90	100	100	0
Porphyrio_ellioti_0	2	95.73	100	90	100	100	0
Porphyrio_pulverulentus_0	2	93.36	100	90	100	100	0
Porphyrio_kukwiedei_0	2	11.37	16.67	0	0	0	0
Porphyrio_mantelli_0	2	31.28	29.17	10	0	0	0
Porphyrio_hochstetteri_0	2	100	100	100	100	100	12.43
