species	locus	numQs
1	Aramides_axillaris_0	seqs_DNA_seqfrom_Aramides_axillaris_0	1405
2	Amaurornis_flavirostris_0	seqs_DNA_seqfrom_Amaurornis_flavirostris_0	847
3	Amaurornis_phoenicurus_0	seqs_DNA_seqfrom_Amaurornis_phoenicurus_0	831
4	Aramides_cajanea_0	seqs_DNA_seqfrom_Aramides_cajanea_0	1779
5	Crex_crex_0	seqs_DNA_seqfrom_Crex_crex_0	2476
6	Eulabeornis_castaneoventris_0	seqs_DNA_seqfrom_Eulabeornis_castaneoventris_0	315
7	Dryolimnas_cuvieri_0	seqs_DNA_seqfrom_Dryolimnas_cuvieri_0	458
8	Fulica_americana_0	seqs_DNA_seqfrom_Fulica_americana_0	2308
9	Fulica_atra_0	seqs_DNA_seqfrom_Fulica_atra_0	2457
10	Fulica_ardesiaca_0	seqs_DNA_seqfrom_Fulica_ardesiaca_0	2073
11	Fulica_leucoptera_0	seqs_DNA_seqfrom_Fulica_leucoptera_0	2477
12	Fulica_rufifrons_0	seqs_DNA_seqfrom_Fulica_rufifrons_0	469
13	Fulica_armillata_0	seqs_DNA_seqfrom_Fulica_armillata_0	445
14	Gallinula_angulata_0	seqs_DNA_seqfrom_Gallinula_angulata_0	834
15	Gallinula_chloropus_0	seqs_DNA_seqfrom_Gallinula_chloropus_0	565
16	Gallicrex_cinerea_0	seqs_DNA_seqfrom_Gallicrex_cinerea_0	2711
17	Gallinula_tenebrosa_0	seqs_DNA_seqfrom_Gallinula_tenebrosa_0	1364
18	Gallinula_mortierii_0	seqs_DNA_seqfrom_Gallinula_mortierii_0	2192
19	Gallinula_ventralis_0	seqs_DNA_seqfrom_Gallinula_ventralis_0	1297
20	Laterallus_exilis_0	seqs_DNA_seqfrom_Laterallus_exilis_0	534
21	Laterallus_melanophaius_0	seqs_DNA_seqfrom_Laterallus_melanophaius_0	1804
22	Laterallus_viridis_0	seqs_DNA_seqfrom_Laterallus_viridis_0	1163
23	Neocrex_erythrops_0	seqs_DNA_seqfrom_Neocrex_erythrops_0	1112
24	Nesoclopeus_woodfordi_0	seqs_DNA_seqfrom_Nesoclopeus_woodfordi_0	1306
25	Pardirallus_nigricans_0	seqs_DNA_seqfrom_Pardirallus_nigricans_0	689
26	Pardirallus_sanguinolentus_0	seqs_DNA_seqfrom_Pardirallus_sanguinolentus_0	930
