char_is_autapomorphic	nstates_per_char	state0	state1
1	0	2	91	22
2	0	2	135	13
3	0	2	110	6
4	0	2	106	9
5	0	2	108	6
6	1	2	1	114
7	0	2	103	12
8	0	2	106	8
9	0	2	26	89
10	1	2	117	1
11	0	2	84	28
12	0	2	100	6
13	0	2	96	10
14	0	2	53	60
15	0	2	106	8
16	0	2	98	50
17	0	2	10	99
18	1	2	103	1
19	0	2	95	9
20	1	2	1	103
21	0	2	6	106
22	0	2	3	115
23	0	2	113	8
24	0	2	115	3
25	0	2	108	8
26	0	2	88	29
27	1	2	115	1
28	0	2	76	2
29	1	2	74	1
30	1	2	72	1
31	0	2	64	12
32	0	2	68	9
33	0	2	74	10
34	1	2	111	1
35	1	2	1	104
36	0	2	76	36
37	0	2	101	12
38	0	2	101	12
39	0	2	74	19
40	0	2	86	20
41	0	2	91	25
42	0	2	4	109
43	0	2	33	86
44	0	2	98	22
45	0	2	104	17
46	1	2	112	1
47	0	2	104	16
48	0	2	92	29
49	1	2	1	109
50	0	2	24	82
51	1	2	1	115
52	0	2	94	26
53	1	2	119	1
54	1	2	1	119
55	1	2	120	1
56	0	2	107	13
57	0	2	98	23
58	0	2	117	4
59	0	2	104	12
60	0	2	100	18
61	0	2	116	2
62	0	2	24	93
63	0	2	98	12
64	1	2	117	1
65	0	2	106	12
66	0	2	87	31
67	1	2	117	1
68	0	2	92	26
69	1	2	117	1
70	1	2	117	1
71	0	2	106	12
72	0	2	23	82
73	0	2	6	117
74	0	2	111	12
75	0	2	108	13
76	0	2	104	12
77	1	2	120	1
78	0	2	23	101
79	0	2	94	10
80	0	2	114	11
81	0	2	27	98
82	1	2	124	1
83	0	2	113	12
84	0	2	121	4
85	0	2	114	11
86	0	2	14	112
87	0	2	114	12
88	0	2	94	17
89	0	2	103	9
90	0	2	71	4
91	0	2	67	8
92	1	2	1	74
93	0	2	67	8
94	1	2	1	74
95	0	2	7	68
96	0	2	3	71
97	1	2	1	74
98	1	2	135	1
99	0	2	132	3
100	1	2	135	1
101	0	2	11	108
102	0	2	134	2
103	0	2	128	8
104	1	2	135	1
105	0	2	133	3
106	0	2	121	14
107	1	2	135	1
108	1	2	135	1
109	1	2	135	1
110	1	2	135	1
111	1	2	135	1
112	1	2	135	1
113	0	2	133	3
114	1	2	135	1
115	1	2	135	1
116	1	2	135	1
117	0	2	30	106
118	0	2	113	23
119	0	2	131	5
120	0	2	125	10
121	1	2	135	1
122	0	2	134	2
123	1	2	135	1
124	0	2	134	2
125	1	2	135	1
126	0	2	124	12
127	0	2	132	4
128	0	2	133	3
129	1	2	135	1
130	0	2	134	2
131	0	2	133	3
132	0	2	133	3
133	1	2	135	1
134	0	2	122	14
135	0	2	96	40
136	1	2	135	1
137	1	2	135	1
138	1	2	135	1
139	0	2	131	5
140	0	2	129	7
141	1	2	135	1
142	0	2	130	6
143	0	2	134	2
144	0	2	134	2
145	0	2	35	100
146	1	2	135	1
147	1	2	135	1
148	1	2	135	1
149	1	2	135	1
150	0	2	134	2
151	0	2	134	2
152	1	2	135	1
153	1	2	135	1
154	1	2	135	1
155	0	2	107	29
156	1	2	135	1
157	0	2	128	8
158	0	2	133	3
159	0	2	134	2
160	0	2	121	15
161	0	2	130	6
162	1	2	135	1
163	0	2	134	2
164	1	2	135	1
165	1	2	135	1
166	1	2	135	1
167	1	2	135	1
168	0	2	107	29
169	1	2	135	1
170	0	2	134	2
171	0	2	133	3
172	0	2	128	8
173	1	2	135	1
174	0	2	133	3
175	0	2	124	12
176	1	2	135	1
177	0	2	125	11
178	0	2	118	17
179	0	2	130	6
180	1	2	135	1
181	0	2	72	64
182	0	2	122	14
183	0	2	118	18
184	1	2	135	1
185	0	2	10	125
186	0	2	130	6
187	0	2	133	3
188	1	2	135	1
189	0	2	120	15
190	0	2	121	15
191	0	2	133	3
192	0	2	131	5
193	0	2	6	130
194	1	2	135	1
195	0	2	127	9
196	1	2	135	1
197	0	2	109	27
198	0	2	125	11
199	1	2	135	1
200	0	2	118	18
201	1	2	135	1
202	1	2	135	1
203	0	2	133	3
204	0	2	134	2
205	0	2	120	16
206	1	2	1	135
207	0	2	115	21
208	0	2	128	8
209	0	2	127	9
210	0	2	127	9
211	0	2	134	2
