OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	19	0	5	79.17	-72	96	-300
2	Amaurornis_flavirostris_0	24	0	0	100	-72	96	-300
3	Amaurornis_phoenicurus_0	24	0	0	100	-72	96	-300
4	Aramides_cajanea_0	24	0	0	100	-72	96	-300
5	Crex_crex_0	24	0	0	100	-72	96	-300
6	Eulabeornis_castaneoventris_0	24	0	0	100	-72	96	-300
7	Dryolimnas_cuvieri_0	24	0	0	100	-72	96	-300
8	Fulica_americana_0	24	0	0	100	-72	96	-300
9	Fulica_atra_0	24	0	0	100	-72	96	-300
10	Fulica_ardesiaca_0	24	0	0	100	-72	96	-300
11	Fulica_leucoptera_0	24	0	0	100	-72	96	-300
12	Fulica_rufifrons_0	24	0	0	100	-72	96	-300
13	Fulica_armillata_0	24	0	0	100	-72	96	-300
14	Gallinula_angulata_0	24	0	0	100	-72	96	-300
15	Gallinula_chloropus_0	24	0	0	100	-72	96	-300
16	Gallicrex_cinerea_0	24	0	0	100	-72	96	-300
17	Gallinula_tenebrosa_0	24	0	0	100	-72	96	-300
18	Gallinula_mortierii_0	24	0	0	100	-72	96	-300
19	Gallinula_ventralis_0	24	0	0	100	-72	96	-300
20	Laterallus_exilis_0	24	0	0	100	-72	96	-300
21	Laterallus_melanophaius_0	24	0	0	100	-72	96	-300
22	Laterallus_viridis_0	24	0	0	100	-72	96	-300
23	Neocrex_erythrops_0	23	0	1	95.83	-72	96	-300
24	Nesoclopeus_woodfordi_0	21	0	3	87.5	-72	96	-300
25	Pardirallus_nigricans_0	24	0	0	100	-72	96	-300
26	Pardirallus_sanguinolentus_0	24	0	0	100	-72	96	-300
27	Pardirallus_maculatus_0	24	0	0	100	-72	96	-300
28	Porzana_porzana_0	24	0	0	100	-72	96	-300
29	Rallus_limicola_0	24	0	0	100	-72	96	-300
30	Rallus_longirostris_0	24	0	0	100	-72	96	-300
31	Rallina_fasciata_0	24	0	0	100	-72	96	-300
32	Rallina_tricolor_0	24	0	0	100	-72	96	-300
33	Porphyrio_martinica_0	24	0	0	100	-72	96	-300
34	Gallirallus_philippensis_0	24	0	0	100	-72	96	-300
35	Aenigmatolimnas_marginalis_0	24	0	0	100	-72	96	-300
36	Amaurolimnas_concolor_0	24	0	0	100	-72	96	-300
37	Amaurornis_moluccana_0	24	0	0	100	-72	96	-300
38	Aramides_saracura_0	24	0	0	100	-72	96	-300
39	Coturnicops_noveboracensis_0	24	0	0	100	-72	96	-300
40	Crex_egregia_0	24	0	0	100	-72	96	-300
41	Fulica_gigantea_0	24	0	0	100	-72	96	-300
42	Fulica_cristata_0	24	0	0	100	-72	96	-300
